name,years,reviews,employee,rating,type,highly_rated_for
Aarvee Associates,Hyderabad/Secunderabad +119 more,761,1k-5k Employees,3.9,Engineering & Construction,null
Vistaar Finance,Bengaluru/Bangalore +161 more,759,1k-5k Employees,4.2,NBFC,"Company Culture, Salary & Benefits, Skill Development / Learning"
MDIndia Health Insurance TPA,Pune +70 more,759,5k-10k Employees,3.8,Insurance,null
Ceasefire Industries,Noida +68 more,758,1k-5k Employees,3.2,Industrial Machinery,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
RBL FinServe,Mumbai +255 more,758,5k-10k Employees,4.1,Financial Services,"Salary & Benefits, Skill Development / Learning"
BGR Energy Systems,38 years old,757,1k-5k Employees,3.7,Oil & Gas,null
Novo Nordisk,100 years old,756,1k-5k Employees,4.1,Pharma,"Job Security, Work Life Balance, Company Culture"
Lemon Tree Hotels,21 years old,756,1k-5k Employees,4.1,Hospitality,"Job Security, Skill Development / Learning, Company Culture"
1point1 Solutions,15 years old,756,5k-10k Employees,3.4,BPO,Salary & Benefits
TechnipFMC,Paris +39 more,755,1k-5k Employees,3.9,Oil & Gas,"Job Security, Company Culture, Work Life Balance"
Barbeque Nation,Bangalore/Bengaluru +61 more,755,5k-10k Employees,4.0,Retail,"Company Culture, Job Security, Skill Development / Learning"
PNC Infratech,24 years old,755,5k-10k Employees,3.9,Engineering & Construction,Job Security
Shubham Housing Development Finance,Gurgaon +102 more,754,10k-50k Employees,4.0,NBFC,"Job Security, Company Culture, Skill Development / Learning"
OpenText Technologies,Waterloo +8 more,753,1k-5k Employees,3.9,Software Product,"Work Life Balance, Company Culture, Job Security"
Sonata Software,37 years old,751,1k-5k Employees,3.7,IT Services & Consulting,null
Schaeffler India,77 years old,751,1k-5k Employees,4.2,Auto Components,"Job Security, Work Life Balance, Company Culture"
Shriram Life Insurance,18 years old,750,1k-5k Employees,3.9,Insurance,"Work Life Balance, Company Culture"
Shriram Life Insurance,18 years old,750,1k-5k Employees,3.9,Insurance,"Work Life Balance, Company Culture"
Dixon Technologies,30 years old,748,1k-5k Employees,4.0,Consumer Electronics & Appliances,"Skill Development / Learning, Job Security"
Power Grid Corporation of India,34 years old,745,5k-10k Employees,4.4,Power,"Salary & Benefits, Company Culture, Work Life Balance"
Provana,Lisle +4 more,745,501-1k Employees,3.7,Software Product,null
Physicswallah,4 years old,745,10k-50k Employees,4.0,EdTech,"Skill Development / Learning, Company Culture, Work Satisfaction"
Intel,55 years old,744,10k-50k Employees,4.2,Semiconductors,"Work Life Balance, Company Culture, Work Satisfaction"
DCM Shriram,33 years old,744,1k-5k Employees,4.2,Chemicals,"Job Security, Company Culture, Work Life Balance"
V2 Retail,22 years old,743,1k-5k Employees,3.5,Fashion & Textile,Job Security
Apotex Research,Brantford +13 more,743,201-500 Employees,4.3,Pharma,"Work Life Balance, Company Culture, Job Security"
Altimetrik,Southfield +10 more,742,1k-5k Employees,3.9,IT Services & Consulting,"Work Life Balance, Salary & Benefits, Company Culture"
The Ramco Cements,62 years old,740,1k-5k Employees,4.2,Building Material,"Job Security, Company Culture, Work Life Balance"
Hyundai Mobis,6 years old,738,1k-5k Employees,3.8,Auto Components,Job Security
SLK Global Services,Dallas +8 more,738,51-200 Employees,3.9,IT Services & Consulting,Job Security
CSB Bank,Thrissur/Trichur +130 more,738,1k-5k Employees,3.4,Banking,null
OM Logistics,Delhi/NCR +98 more,737,1k-5k Employees,4.1,Logistics,"Job Security, Work Life Balance, Company Culture"
Hitachi Astemo,null,737,1k-5k Employees,4.1,Auto Components,"Company Culture, Work Life Balance, Job Security"
Hathway,Mumbai +46 more,736,501-1k Employees,3.7,Broadcasting,Promotions / Appraisal
iMerit,11 years old,736,1k-5k Employees,3.8,Software Product,"Work Life Balance, Company Culture"
Shalby Hospitals,29 years old,736,1k-5k Employees,4.7,Healthcare,"Skill Development / Learning, Company Culture, Work Life Balance"
Edelweiss Tokio Life Insurance,Mumbai +111 more,735,1k-5k Employees,3.8,Insurance,null
Ion Exchange India,59 years old,734,1k-5k Employees,3.8,Waste Management,"Job Security, Work Life Balance"
Exide Life Insurance,Bangalore/Bengaluru +157 more,733,1k-5k Employees,3.8,Insurance,null
Barclays Global Service Centre,16 years old,733,201-500 Employees,4.2,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
Feedback Infrastructure Services,Gurgaon/Gurugram +114 more,731,5k-10k Employees,3.5,Engineering & Construction,null
Dana Anand,Delhi/NCR +37 more,730,1k-5k Employees,4.2,Auto Components,"Skill Development / Learning, Company Culture, Job Security"
Unicharm,62 years old,729,1k-5k Employees,4.1,Beauty & Personal Care,"Job Security, Salary & Benefits, Skill Development / Learning"
Airtel Payments Bank,7 years old,729,1k-5k Employees,4.2,FinTech,"Skill Development / Learning, Company Culture, Work Life Balance"
Capacit'e Infraprojects,11 years old,728,501-1k Employees,3.5,Engineering & Construction,null
TK Elevator,Essen +64 more,727,1k-5k Employees,4.0,Industrial Machinery,"Work Life Balance, Job Security, Skill Development / Learning"
Tata Chemicals,84 years old,726,1k-5k Employees,4.1,Chemicals,"Job Security, Skill Development / Learning, Work Life Balance"
ThyssenKrupp Industries India,76 years old,725,1k-5k Employees,4.1,Industrial Machinery,"Job Security, Work Life Balance, Company Culture"
Bajaj Housing Finance,Pune +108 more,721,1k-5k Employees,3.8,NBFC,"Skill Development / Learning, Salary & Benefits"
Xavient Digital - Powered by TELUS International,Simi Valley +8 more,720,501-1k Employees,3.9,IT Services & Consulting,Work Life Balance
Spandana Sphoorty Financial,25 years old,719,10k-50k Employees,3.7,NBFC,null
Bosch Chassis Systems,Gerlingen +20 more,718,1k-5k Employees,4.2,Auto Components,"Company Culture, Skill Development / Learning, Work Satisfaction"
Hindustan Zinc,57 years old,717,1k-5k Employees,3.9,Metals & Mining,Salary & Benefits
Kirloskar Brothers,135 years old,714,1k-5k Employees,3.9,Industrial Machinery,"Work Life Balance, Skill Development / Learning"
FLSmidth,Copenhagen +19 more,712,1k-5k Employees,3.7,Industrial Machinery,Work Life Balance
Next Education India,Hyderabad/Secunderabad +76 more,712,1k-5k Employees,3.7,EdTech,null
Chetu,Sunrise +6 more,711,1k-5k Employees,3.3,Software Product,Job Security
Fidelity Investment,Boston +12 more,710,5k-10k Employees,4.4,Financial Services,"Job Security, Company Culture, Work Life Balance"
TradeIndia (Infocom Network Private Limited),Noida +36 more,710,1k-5k Employees,3.3,Internet,Promotions / Appraisal
Nilkamal,42 years old,709,1k-5k Employees,3.9,Furniture & Furnishing,Work Life Balance
Pricol,48 years old,708,1k-5k Employees,4.0,Auto Components,"Skill Development / Learning, Work Satisfaction"
Sundaram Clayton,61 years old,708,1k-5k Employees,4.0,Auto Components,"Skill Development / Learning, Company Culture, Salary & Benefits"
Fluor Corporation,null,708,Gurgaon/Gurugram +20 more,4.3,Forbes Global 2000,"Work Life Balance, Company Culture, Salary & Benefits"
Colgate Palmolive,86 years old,708,1k-5k Employees,4.2,FMCG,"Company Culture, Work Life Balance, Job Security"
Dassault Systemes,42 years old,707,5k-10k Employees,4.1,Software Product,"Job Security, Work Life Balance, Company Culture"
Nirma,33 years old,706,10k-50k Employees,4.2,Chemicals,"Job Security, Work Life Balance, Skill Development / Learning"
Reliance AJIO,Bengaluru +179 more,706,1k-5k Employees,3.7,Internet,null
AstraZeneca,24 years old,705,1k-5k Employees,4.2,Pharma,"Work Life Balance, Company Culture, Job Security"
Nykaa,11 years old,705,1k-5k Employees,3.5,Internet,null
Gmmco,Chennai +73 more,704,1k-5k Employees,4.2,Industrial Machinery,"Skill Development / Learning, Job Security, Work Satisfaction"
Secure Meters,36 years old,704,1k-5k Employees,4.1,Electronics Manufacturing,"Job Security, Company Culture, Work Life Balance"
GEP Worldwide,Clark +8 more,704,1k-5k Employees,3.8,IT Services & Consulting,"Job Security, Company Culture"
Brillio,Edison +9 more,703,1k-5k Employees,3.5,IT Services & Consulting,null
VIP Industries,52 years old,703,1k-5k Employees,3.9,Retail,null
CarDekho,15 years old,702,1k-5k Employees,3.6,Internet,null
Pizza Hut,Plano +93 more,701,1k-5k Employees,3.9,Hospitality,"Skill Development / Learning, Company Culture, Job Security"
V5 Global Services,Delhi/NCR +136 more,701,10k-50k Employees,3.8,Recruitment,null
Tube Investments of India,74 years old,701,1k-5k Employees,4.0,Engineering & Construction,"Skill Development / Learning, Job Security"
Visionet Systems,Cranbury +9 more,699,1k-5k Employees,3.2,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Job Security"
Syngenta,Basel +122 more,698,1k-5k Employees,4.2,Agriculture,"Company Culture, Work Life Balance, Skill Development / Learning"
CenturyPly,37 years old,698,1k-5k Employees,4.0,Furniture & Furnishing,"Salary & Benefits, Work Life Balance, Job Security"
eClinicalWorks,Westborough +11 more,698,1k-5k Employees,4.0,Software Product,"Job Security, Company Culture, Salary & Benefits"
Perfetti Van Melle,Lainate +113 more,696,1k-5k Employees,4.4,Food Processing,"Company Culture, Skill Development / Learning, Work Satisfaction"
Punjab National Bank,129 years old,696,1 Lakh+ Employees,4.0,Banking,"Job Security, Salary & Benefits, Promotions / Appraisal"
Amazon Logistics,null,695,51-200 Employees,4.3,Logistics,"Company Culture, Skill Development / Learning, Salary & Benefits"
Qualcomm,27 years old,694,10k-50k Employees,4.0,Semiconductors,"Salary & Benefits, Job Security, Company Culture"
Orion Edutech,Kolkata +103 more,694,5k-10k Employees,3.2,EdTech,"Promotions / Appraisal, Salary & Benefits, Job Security"
Sundaram Finance,69 years old,694,1k-5k Employees,4.2,NBFC,"Job Security, Company Culture, Work Life Balance"
Mahindra First Choice Wheels,Mumbai +103 more,693,201-500 Employees,3.9,Automobile,null
TEKsystems,Hanover +8 more,692,1k-5k Employees,3.6,IT Services & Consulting,null
Toppr,10 years old,692,1k-5k Employees,3.5,EdTech,Job Security
LOREAL,32 years old,690,1k-5k Employees,4.2,Beauty & Personal Care,"Company Culture, Salary & Benefits, Skill Development / Learning"
Medplus(optival Health Solutions),Hyderabad +73 more,690,Fortune India 500,3.6,501-1k Employees,Skill Development / Learning
Colliers International,Ontario +32 more,689,1k-5k Employees,3.9,Real Estate,"Skill Development / Learning, Company Culture"
MakeMyTrip,23 years old,689,1k-5k Employees,3.7,Travel & Tourism,Job Security
Nippon Paint India,142 years old,689,1k-5k Employees,3.9,Chemicals,null
Happiest Minds Technologies,12 years old,689,1k-5k Employees,4.0,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture"
Genius Consultants,Kolkata +74 more,687,201-500 Employees,3.8,Recruitment,null
Diageo,26 years old,687,1k-5k Employees,4.1,Beverage,"Work Life Balance, Salary & Benefits, Company Culture"
C&S Electric,Delhi/NCR +44 more,687,5k-10k Employees,4.0,Electrical Equipment,"Job Security, Work Life Balance"
CADD Centre Training Services,Chennai +123 more,685,1k-5k Employees,4.1,Education & Training,"Skill Development / Learning, Company Culture, Work Satisfaction"
Teva Pharmaceuticals,44 years old,683,1k-5k Employees,4.2,Pharma,"Work Life Balance, Job Security, Company Culture"
Columbia Asia,Bangalore/Bengaluru +21 more,682,1k-5k Employees,4.4,Healthcare,"Company Culture, Skill Development / Learning, Job Security"
Ahluwalia Contracts India,58 years old,681,1k-5k Employees,4.0,Engineering & Construction,"Job Security, Skill Development / Learning"
Sagility,null,680,10k-50k Employees,3.9,BPO,"Job Security, Company Culture, Work Life Balance"
Acuity Knowledge Partners,London +12 more,680,1k-5k Employees,3.6,Financial Services,Job Security
INDO-MIM,Bangalore/Bengaluru +15 more,679,1k-5k Employees,4.2,Industrial Machinery,"Job Security, Skill Development / Learning, Work Life Balance"
Thomas Cook,142 years old,679,1k-5k Employees,3.7,Travel & Tourism,null
Egis  India Consulting Engineers,Gurgaon/Gurugram +94 more,679,1k-5k Employees,4.1,Engineering & Construction,"Work Life Balance, Company Culture, Work Satisfaction"
MAHLE ANAND Filter Systems,Stuttgart +25 more,678,501-1k Employees,4.1,Auto Components,"Job Security, Company Culture, Work Life Balance"
ZF Steering Gear,108 years old,677,501-1k Employees,3.7,Auto Components,null
Jakson Group,Noida +68 more,675,1k-5k Employees,3.9,Power,"Work Life Balance, Company Culture, Skill Development / Learning"
Karur Vysya Bank,107 years old,674,5k-10k Employees,3.7,Banking,null
Imperial Auto Industries,54 years old,673,1k-5k Employees,3.8,Auto Components,null
Incedo,Iselin +10 more,672,1k-5k Employees,3.6,IT Services & Consulting,null
IDFC FIRST Bharat,Tiruchirappalli +216 more,671,5k-10k Employees,4.2,NBFC,"Salary & Benefits, Job Security, Work Life Balance"
Uber,14 years old,667,1k-5k Employees,4.2,Internet,"Company Culture, Work Life Balance, Salary & Benefits"
Evision Technoserve,Delhi/NCR +60 more,667,201-500 Employees,4.6,Recruitment,"Skill Development / Learning, Company Culture, Work Satisfaction"
Kinara Capital,Bangalore +105 more,667,1k-5k Employees,4.5,NBFC,"Company Culture, Skill Development / Learning, Work Life Balance"
HFCL,36 years old,665,1k-5k Employees,4.1,Hardware & Networking,"Work Life Balance, Job Security, Company Culture"
Pernod Ricard,48 years old,664,1k-5k Employees,3.8,Beverage,Salary & Benefits
Skill Lync,8 years old,662,1k-5k Employees,3.1,EdTech,"Job Security, Promotions / Appraisal, Work Satisfaction"
JTEKT,17 years old,660,501-1k Employees,4.2,Auto Components,"Job Security, Company Culture, Skill Development / Learning"
Neel Metal Products,Gurgaon +27 more,660,501-1k Employees,4.1,Metals & Mining,"Job Security, Skill Development / Learning, Work Life Balance"
Fusion Microfinance,Delhi +180 more,659,10k-50k Employees,4.1,NBFC,"Job Security, Company Culture, Work Life Balance"
TNQ Technologies,Chennai +8 more,659,1k-5k Employees,3.7,Printing & Publishing,Job Security
Vedanta Aluminium,Jharsuguda +30 more,657,1k-5k Employees,3.8,Metals & Mining,"Salary & Benefits, Job Security"
C.R.I. Pumps,Coimbatore +53 more,657,1k-5k Employees,3.9,Industrial Machinery,Skill Development / Learning
Otis Elevator,Farmington +54 more,657,1k-5k Employees,4.0,Industrial Machinery,"Job Security, Company Culture, Work Life Balance"
Ruchi Soya Industries,37 years old,657,1k-5k Employees,4.1,Food Processing,"Work Life Balance, Job Security, Company Culture"
PayPal,25 years old,657,1k-5k Employees,4.0,IT Services & Consulting,"Salary & Benefits, Company Culture, Work Life Balance"
Huhtamaki,Espoo +31 more,657,1k-5k Employees,3.9,Packaging,"Skill Development / Learning, Company Culture"
Pramerica Life Insurance,Gurgaon +115 more,657,1k-5k Employees,3.9,Insurance,Work Life Balance
Metropolis Healthcare,43 years old,655,1k-5k Employees,4.0,Healthcare,"Skill Development / Learning, Job Security, Company Culture"
ICICI Prudential Mutual Fund,New Delhi +129 more,654,1k-5k Employees,3.8,Financial Services,"Skill Development / Learning, Job Security, Work Life Balance"
Pristyn Care,5 years old,654,1k-5k Employees,3.4,Healthcare,null
Capri Global Capital,26 years old,654,1k-5k Employees,3.7,NBFC,Salary & Benefits
KIMS Hospital,Hyderabad/Secunderabad +36 more,653,501-1k Employees,4.1,Healthcare,"Skill Development / Learning, Job Security, Work Life Balance"
Birla Corporation,104 years old,653,5k-10k Employees,4.1,Building Material,"Job Security, Work Life Balance, Company Culture"
Softenger,Pune +28 more,652,501-1k Employees,4.1,IT Services & Consulting,"Company Culture, Skill Development / Learning, Work Satisfaction"
Marks & Spencer,139 years old,650,1k-5k Employees,4.2,Retail,"Job Security, Company Culture, Skill Development / Learning"
Aviva Life Insurance India,327 years old,650,1k-5k Employees,3.7,Insurance,Work Life Balance
Hikal,Mumbai +16 more,650,1k-5k Employees,4.0,Pharma,"Job Security, Work Life Balance, Company Culture"
Future Focus Infotech,Chennai +51 more,649,5k-10k Employees,3.5,IT Services & Consulting,Promotions / Appraisal
Air India,93 years old,649,10k-50k Employees,4.1,Aviation,"Skill Development / Learning, Work Life Balance, Job Security"
Troikaa Pharmaceuticals,Ahmedabad +64 more,649,1k-5k Employees,3.7,Pharma,Salary & Benefits
Mu Sigma,19 years old,648,1k-5k Employees,3.1,Management Consulting,"Work Life Balance, Salary & Benefits, Company Culture"
Yashoda Hospitals,Ghaziabad +19 more,648,501-1k Employees,3.9,Healthcare,Skill Development / Learning
Patra Corporation,El Dorado Hills +13 more,647,1k-5k Employees,3.7,IT Services & Consulting,Job Security
CALIBEHR,Mumbai +107 more,647,1k-5k Employees,3.9,Recruitment,Skill Development / Learning
ReNew,Gurgaon +60 more,646,1k-5k Employees,4.3,Power,"Job Security, Company Culture, Skill Development / Learning"
Meril,Vapi +57 more,645,1k-5k Employees,3.8,Medical Equipment,Job Security
Rashmi Metaliks,Kolkata +20 more,645,10k-50k Employees,3.4,Metals & Mining,Company Culture
Bank of India,117 years old,644,50k-1 Lakh Employees,3.9,Banking,"Job Security, Salary & Benefits, Promotions / Appraisal"
THE LEELA PALACES HOTELS & RESORTS,40 years old,644,1k-5k Employees,4.0,Hospitality,"Skill Development / Learning, Job Security"
Better.com,7 years old,644,201-500 Employees,3.0,Financial Services,Salary & Benefits
Aditya Birla Finance,Mumbai +120 more,643,10k-50k Employees,3.9,Financial Services,Salary & Benefits
Shriram General Insurance,Jaipur +149 more,642,10k-50k Employees,3.7,Insurance,null
VeeTechnologies,New York +20 more,642,1k-5k Employees,3.8,IT Services & Consulting,Job Security
Vertiv,7 years old,640,51-200 Employees (Global),3.9,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
Orchids International School,Nasik/Nashik +26 more,640,1k-5k Employees,2.8,Education & Training,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Sykes Business Services Of India,Tampa +17 more,640,10k-50k Employees,3.4,BPO,null
Panacea Biotec,39 years old,639,1k-5k Employees,3.9,Biotechnology,Work Life Balance
Future Supply Chain Solutions,17 years old,639,1k-5k Employees,4.3,Logistics,"Company Culture, Work Satisfaction, Work Life Balance"
Greaves Cotton,164 years old,638,501-1k Employees,4.1,Auto Components,"Work Life Balance, Company Culture"
Centum Electronics,29 years old,637,1k-5k Employees,3.9,Electronics Manufacturing,"Job Security, Skill Development / Learning"
Samsung Electronics Corporation,Noida +93 more,637,1 Lakh+ Employees (Global),4.2,Consumer Electronics & Appliances,"Salary & Benefits, Job Security, Company Culture"
Indusind Marketing & Financial Services,Chennai +243 more,636,501-1k Employees,4.0,Financial Services,"Work Life Balance, Skill Development / Learning, Job Security"
GVPR Engineers,26 years old,635,501-1k Employees,4.0,Engineering & Construction,"Work Life Balance, Work Satisfaction, Salary & Benefits"
Zoho,Chennai +19 more,635,10k-50k Employees,4.3,Software Product,"Job Security, Company Culture, Work Life Balance"
Bechtel,Reston +22 more,635,1k-5k Employees,4.1,Engineering & Construction,"Salary & Benefits, Company Culture, Work Life Balance"
More Supermarket,Mumbai +107 more,634,10k-50k Employees,3.8,Retail,null
HT Media,99 years old,633,1k-5k Employees,3.5,Media & Entertainment,null
Willis Towers Watson,7 years old,633,1k-5k Employees,4.0,Financial Services,"Job Security, Work Life Balance, Company Culture"
Air India Sats Airport Services,Mumbai +25 more,633,1k-5k Employees,3.9,Aviation,Skill Development / Learning
KEI Industries,55 years old,632,1k-5k Employees,4.1,Electrical Equipment,"Salary & Benefits, Work Life Balance"
Karvy Computershare,null,632,null,3.7,Hyderabad/Secunderabad +61 more,Job Security
Sheenlac Paints,61 years old,632,501-1k Employees,4.5,Chemicals,"Work Life Balance, Skill Development / Learning, Salary & Benefits"
Prodapt,Chennai +9 more,632,1k-5k Employees,3.7,IT Services & Consulting,null
Qinecsa Solutions,null,631,null,2.9,Mysuru/Mysore +8 more,"Promotions / Appraisal, Job Security, Company Culture"
Kotak Mahindra Prime,27 years old,630,10k-50k Employees,4.0,Banking,"Job Security, Skill Development / Learning, Company Culture"
Alok Industries,37 years old,630,10k-50k Employees,3.7,Fashion & Textile,Job Security
Everest Industries,89 years old,629,1k-5k Employees,4.1,Building Material,"Job Security, Work Life Balance, Skill Development / Learning"
Zydus Wellness,35 years old,629,501-1k Employees,4.0,FMCG,"Salary & Benefits, Skill Development / Learning, Work Satisfaction"
Allianz Technology,Munich +11 more,629,1k-5k Employees,4.4,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture"
Amara Raja Group,38 years old,629,10k-50k Employees,4.1,Electrical Equipment,"Job Security, Skill Development / Learning, Company Culture"
Parekh Integrated Services,Mumbai +68 more,629,1k-5k Employees,4.1,Logistics,"Job Security, Company Culture, Skill Development / Learning"
Karvy Stock Broking,null,628,33 years old,3.5,1k-5k Employees,"Promotions / Appraisal, Salary & Benefits"
Pacific BPO,Noida +11 more,628,1k-5k Employees,3.6,BPO,Job Security
Napino Auto & Electronics,26 years old,627,5k-10k Employees,4.1,Auto Components,"Work Life Balance, Company Culture, Skill Development / Learning"
Vedanta Resources,47 years old,627,1k-5k Employees,3.7,Metals & Mining,Salary & Benefits
Jio Platforms,null,627,5k-10k Employees,3.6,IT Services & Consulting,Job Security
Suzuki Motorcycle,Hamamatsu-shi +93 more,626,1k-5k Employees,4.0,Automobile,"Job Security, Work Life Balance"
Federal Bank,92 years old,626,10k-50k Employees,3.9,Banking,"Job Security, Salary & Benefits"
Samasta Microfinance,15 years old,625,5k-10k Employees,4.0,Financial Services,"Skill Development / Learning, Job Security, Work Life Balance"
Gharda Chemicals,Mumbai +43 more,625,1k-5k Employees,4.1,Chemicals,"Job Security, Skill Development / Learning, Work Life Balance"
Reliance Capital,18 years old,624,1k-5k Employees,3.9,Financial Services,Work Life Balance
NTT DATA Business Solutions,null,624,1k-5k Employees,3.8,IT Services & Consulting,null
Snapdeal,13 years old,623,1k-5k Employees,3.9,Internet,"Company Culture, Work Life Balance, Work Satisfaction"
Precision Techserve,Chennai +81 more,623,1k-5k Employees,3.8,IT Services & Consulting,null
Mswipe Technologies,Mumbai +75 more,622,1k-5k Employees,3.1,FinTech,"Job Security, Promotions / Appraisal, Salary & Benefits"
Dunzo,9 years old,622,1k-5k Employees,3.5,Internet,"Job Security, Promotions / Appraisal"
GAMMON INDIA,101 years old,622,11-50 Employees,3.8,Engineering & Construction,null
Aspire Systems,Oak Brook +14 more,622,1k-5k Employees,3.9,IT Services & Consulting,"Job Security, Company Culture, Skill Development / Learning"
Natco Pharma,42 years old,622,1k-5k Employees,4.0,Pharma,"Job Security, Salary & Benefits, Work Life Balance"
Samsung Engineering,Suwon-Si +44 more,621,1k-5k Employees,4.1,Engineering & Construction,"Salary & Benefits, Work Life Balance, Job Security"
Godrej Agrovet,null,620,1k-5k Employees,4.1,Agriculture,"Job Security, Company Culture, Salary & Benefits"
Wheels,61 years old,620,1k-5k Employees,4.0,Auto Components,"Skill Development / Learning, Job Security"
Knorr-Bremse,10 years old,620,501-1k Employees,4.1,Auto Components,"Work Life Balance, Job Security, Company Culture"
Aristo Pharmaceuticals,Mumbai +78 more,620,1k-5k Employees,4.1,Pharma,"Job Security, Work Life Balance, Company Culture"
B. G. Shirke Construction Technology,Pune +24 more,620,1k-5k Employees,4.2,Engineering & Construction,"Job Security, Company Culture, Work Life Balance"
United Breweries,166 years old,619,1k-5k Employees,3.8,Beverage,Job Security
Fareportal,New York +8 more,619,1k-5k Employees,3.3,Internet,Promotions / Appraisal
Godfrey Phillips India,90 years old,617,1k-5k Employees,4.2,FMCG,"Job Security, Skill Development / Learning, Work Life Balance"
Sandvik Asia,Stockholm +31 more,617,10k-50k Employees (Global),4.3,Industrial Machinery,"Salary & Benefits, Company Culture, Job Security"
Indira IVF Hospital,Mumbai +80 more,617,1k-5k Employees,4.0,Healthcare,"Skill Development / Learning, Company Culture, Work Life Balance"
Medha Servo Drives,Hyderabad/Secunderabad +40 more,616,501-1k Employees,4.2,Electronics Manufacturing,"Job Security, Skill Development / Learning, Company Culture"
Star Cement,22 years old,616,1k-5k Employees,4.0,Building Material,"Job Security, Work Life Balance"
SNC-Lavalin,112 years old,615,1k-5k Employees,4.2,Engineering & Construction,"Company Culture, Work Life Balance, Work Satisfaction"
Sandhar Technologies,36 years old,615,1k-5k Employees,3.8,Auto Components,null
Acme Cleantech Solutions,Gurgaon/Gurugram +80 more,615,1k-5k Employees,3.8,Industrial Machinery,Salary & Benefits
Timken,25 years old,614,1k-5k Employees,4.0,Industrial Machinery,Job Security
Aarvi Encon,36 years old,614,5k-10k Employees,4.0,Recruitment,null
Test Yantra Software Solutions,16 years old,614,1k-5k Employees,3.4,IT Services & Consulting,null
Varroc Polymers,Aurangabad +30 more,614,201-500 Employees,3.8,Auto Components,Skill Development / Learning
Galfar,Muscat +30 more,613,1k-5k Employees,4.1,Engineering & Construction,"Job Security, Skill Development / Learning, Company Culture"
Webhelp,Paris +13 more,613,1k-5k Employees,3.8,BPO,Job Security
Rupeek,8 years old,613,1k-5k Employees,3.7,FinTech,null
HPCL-Mittal Energy Limited,Noida +20 more,612,1k-5k Employees,4.3,Petrochemicals,"Job Security, Company Culture, Salary & Benefits"
Leadec India,Stuttgart +46 more,612,1k-5k Employees,3.9,Facility Management Services,null
DLF,77 years old,611,501-1k Employees,3.9,Real Estate,Salary & Benefits
Bayer Crop Science Vegetable Seeds,null,611,null,4.3,Hyderabad/Secunderabad +131 more,"Skill Development / Learning, Company Culture, Work Life Balance"
Atlas Copco,150 years old,611,1k-5k Employees,4.2,Industrial Machinery,"Company Culture, Job Security, Work Life Balance"
Tata Steel BSL,36 years old,611,10k-50k Employees,4.0,Metals & Mining,"Job Security, Skill Development / Learning, Work Life Balance"
Kohler,null,611,150 years old,3.8,1k-5k Employees,Salary & Benefits
Greenko Group,Hyderabad +53 more,610,1k-5k Employees,3.8,Power,Job Security
Centre for Development of Advanced Computing,Pune +26 more,610,1k-5k Employees,3.7,IT Services & Consulting,"Work Life Balance, Job Security"
Micromax Informatics,Gurgaon/Gurugram +113 more,609,1k-5k Employees,3.7,Consumer Electronics & Appliances,null
Page Industries,29 years old,609,10k-50k Employees,4.3,Fashion & Textile,"Job Security, Salary & Benefits, Company Culture"
LEAD School,10 years old,609,1k-5k Employees,3.2,EdTech,"Job Security, Promotions / Appraisal"
Lakshmi Machine Works,61 years old,609,1k-5k Employees,4.0,Industrial Machinery,"Job Security, Skill Development / Learning"
Grant Thornton,Chicago +42 more,608,5k-10k Employees,3.7,Accounting & Auditing,Job Security
General Mills,95 years old,607,1k-5k Employees,4.2,FMCG,"Company Culture, Work Life Balance, Job Security"
Duck Creek Technologies,Boston +4 more,606,501-1k Employees,4.5,Software Product,"Work Life Balance, Company Culture, Work Satisfaction"
National Health Mission,Guwahati +200 more,604,10k-50k Employees,3.6,Healthcare,"Promotions / Appraisal, Salary & Benefits, Job Security"
DuPont,Wilmington +49 more,603,1k-5k Employees,4.2,Chemicals,"Company Culture, Work Life Balance, Job Security"
Digit Insurance,7 years old,603,1k-5k Employees,4.0,Insurance,"Job Security, Skill Development / Learning, Company Culture"
Quest Retail Private Limited,Gurgaon/Gurugram +68 more,602,501-1k Employees,4.4,Retail,"Skill Development / Learning, Job Security, Company Culture"
Bayer,160 years old,601,1k-5k Employees,4.1,Pharma,"Skill Development / Learning, Job Security, Work Life Balance"
Aparna Constructions and Estates,Hyderabad/Secunderabad +15 more,600,1k-5k Employees,4.1,Real Estate,"Job Security, Skill Development / Learning, Work Life Balance"
H.G. Infra Engineering,20 years old,598,1k-5k Employees,4.2,Engineering & Construction,"Skill Development / Learning, Salary & Benefits, Job Security"
ValueMomentum,Piscataway +6 more,597,1k-5k Employees,3.4,IT Services & Consulting,null
CRB Tech Solution,Pune +7 more,596,501-1k Employees,4.2,EdTech,"Skill Development / Learning, Company Culture, Promotions / Appraisal"
Michelin,Clermont-Ferrand +38 more,595,1k-5k Employees,3.9,Auto Components,"Work Life Balance, Company Culture, Job Security"
NetAmbit,Noida +78 more,595,10k-50k Employees,3.4,BPO,Job Security
