name,years,reviews,employee,rating,type,highly_rated_for
ICICI Prudential Life Insurance,23 years old,5.3k,10k-50k Employees,4.1,Insurance,"Job Security, Skill Development / Learning, Salary & Benefits"
Jana Small Finance Bank,17 years old,5.2k,10k-50k Employees,3.8,Banking,null
UltraTech Cement,40 years old,5.2k,10k-50k Employees,4.2,Building Material,"Job Security, Skill Development / Learning, Company Culture"
Bandhan Bank,22 years old,5.2k,50k-1 Lakh Employees,3.8,Banking,Job Security
Paytm,13 years old,5.2k,10k-50k Employees,3.5,FinTech,null
HCL Group,Chennai +68 more,5.1k,1 Lakh+ Employees,3.7,IT Services & Consulting,Job Security
AU Small Finance Bank,27 years old,5.1k,10k-50k Employees,4.2,Banking,"Skill Development / Learning, Job Security, Company Culture"
Lupin,55 years old,5.1k,10k-50k Employees,4.1,Pharma,"Skill Development / Learning, Company Culture, Work Life Balance"
Udaan,7 years old,5k,1k-5k Employees,4.0,Internet,"Salary & Benefits, Skill Development / Learning"
Bajaj Finance,Pune +719 more,5k,10k-50k Employees,4.0,NBFC,"Salary & Benefits, Skill Development / Learning, Job Security"
Indian Army,128 years old,4.9k,1 Lakh+ Employees,4.7,Defence & Aerospace,"Job Security, Company Culture, Work Satisfaction"
L&T Infotech,27 years old,4.9k,10k-50k Employees,3.8,IT Services & Consulting,Job Security
Zydus Lifesciences,71 years old,4.8k,10k-50k Employees,4.1,Pharma,"Job Security, Skill Development / Learning, Salary & Benefits"
ITC,48 years old,4.8k,10k-50k Employees,3.9,FMCG,"Job Security, Skill Development / Learning"
Wells Fargo,171 years old,4.7k,10k-50k Employees,4.1,Banking,"Job Security, Work Life Balance, Company Culture"
JP Morgan Chase,23 years old,4.7k,50k-1 Lakh Employees,4.2,Financial Services,"Job Security, Company Culture, Skill Development / Learning"
Delhivery,Delhi +574 more,4.6k,Fortune India 500,4.0,10k-50k Employees,Skill Development / Learning
FIS,Gurgaon/Gurugram +38 more,4.6k,10k-50k Employees,3.9,FinTech,"Work Life Balance, Company Culture, Job Security"
